Attribute, Count
Acknowledgement, 34
ADID_ref, 45
Adid_ref, 2
alt_logical_source, 24
CDF_Specification_version, 2
Compression, 2
Data_type, 45
Data_version, 48
Description, 1
Descriptor, 49
Discipline, 48
DP_Type, 1
Encoding, 49
File_naming_convention, 3
FileName, 49
FileVersion, 49
Format, 49
Generated_by, 39
Generated_with_software, 2
Generation_date, 40
Hertz10_exist, 2
HTTP_link, 17
HTTP_LINK, 25
Instrument, 1
Instrument_type, 49
Link_text, 17
LINK_TEXT, 25
Link_title, 17
LINK_TITLE, 25
Logical_file_id, 49
Logical_source, 49
Logical_source_description, 49
Majority, 49
Mission_group, 49
MODS, 42
NC_DIMENSIONS_G, 1
NC_KIND, 1
NSSDC_ID, 4
NSSDC_id, 1
Parents, 2
PDS_DATA_SET_ID, 4
PDS_INSTRUMENT_HOST_ID, 4
PDS_INSTRUMENT_HOST_NAME, 1
PDS_INSTRUMENT_ID, 4
PDS_INSTRUMENT_NAME, 4
PDS_MISSION_NAME, 4
PDS_RECORD_TYPE, 4
PDS_SPACECRAFT_CLOCK_START_TIME, 4
PDS_SPACECRAFT_CLOCK_STOP_TIME, 4
PDS_START_TIME, 4
PDS_STOP_TIME, 4
PDS_TARGET_NAME, 4
PDS_VERSION_ID, 4
PI_affiliation, 49
PI_name, 49
Planet, 2
Project, 49
Rules_of_use, 29
Skeleton_version, 2
Software_version, 2
Source_name, 49
spase_DatasetResourceID, 46
SW_Name, 1
TEXT, 49
TEXT_supplement_1, 13
Time_resolution, 39
TITLE, 44
Web_site, 31
