Attribute, Count
ALLOW_BIN, 6
AVG_TYPE, 490
BlockingFactor, 119
CATDESC, 2137
COMPARE_VAL, 4
COMPONENT_0, 38
COMPONENT_1, 4
Compression, 102
DataType, 2150
DELTA_MINUS_VAR, 67
DELTA_PLUS_VAR, 67
DEPEND_0, 1434
DEPEND_1, 163
DEPEND_2, 6
Description, 182
DICT_KEY, 1917
DimSizes, 814
DimVariances, 814
DISPLAY_TYPE, 1918
FIELDNAM, 2144
FILLVAL, 1749
FORM_PTR, 30
FORMAT, 1987
FULL_CATDESC, 52
FUNCT, 29
FUNCTION, 9
LABL_PTR_1, 331
LABLAXIS, 1662
MONOTON, 119
NC_ADDED, 4
NC_DIMENSIONS_V, 17
NumDims, 2150
NumElements, 2150
NumWrittenRecords, 473
OFFSET_0, 8
PadValue, 1381
QUALITY_VAR, 80
RecVariance, 2150
SCALEMAX, 673
SCALEMIN, 673
SCALETYP, 1315
TIME_BASE, 4
UNIT_PTR, 54
UNITS, 1656
VALIDMAX, 1753
VALIDMIN, 1753
VAR_NOTES, 825
VAR_TYPE, 2150
VIRTUAL, 38
